   4.9000000e+01	   8.5000000e+01	   3.2800000e+02	   2.5900000e+02	   3.3000000e+02	   3.7300000e+02	   1.3600000e+02	   2.3500000e+02	   1.2800000e+02	   2.9100000e+02	
   3.6600000e+02	   4.7000000e+01	   2.6000000e+01	   3.2500000e+02	   3.7700000e+02	   7.5000000e+01	   2.1000000e+01	   3.0700000e+02	   1.7900000e+02	   3.3700000e+02	
   2.1300000e+02	   3.0000000e+02	   1.3700000e+02	   2.9000000e+01	   3.4600000e+02	   3.6000000e+02	   6.5000000e+01	   3.6800000e+02	   3.3600000e+02	   3.0100000e+02	
   3.3900000e+02	   3.6400000e+02	   3.7100000e+02	   1.6900000e+02	   3.6800000e+02	   2.1000000e+01	   1.1000000e+01	   2.3200000e+02	   4.3000000e+01	   1.9900000e+02	
   1.2200000e+02	   1.0800000e+02	   1.9600000e+02	   6.0000000e+00	   2.6000000e+02	   3.2000000e+02	   9.6000000e+01	   5.5000000e+01	   2.3100000e+02	   1.3600000e+02	
   2.9600000e+02	   1.6900000e+02	   4.5000000e+01	   1.2200000e+02	   3.1200000e+02	   3.0800000e+02	   2.7100000e+02	   1.7800000e+02	   2.9000000e+01	   1.6400000e+02	
   1.3100000e+02	   2.3100000e+02	   4.4000000e+01	   2.0800000e+02	   2.8000000e+02	   2.7200000e+02	   2.3200000e+02	   2.2500000e+02	   2.4500000e+02	   4.5000000e+01	
   1.3900000e+02	   3.5800000e+02	   1.9600000e+02	   2.5000000e+01	   1.0500000e+02	   1.7000000e+01	   3.6200000e+02	   6.0000000e+01	   1.1300000e+02	   2.0200000e+02	
   1.9600000e+02	   3.5900000e+02	   2.0000000e+01	   2.7200000e+02	   1.6700000e+02	   1.7000000e+02	   3.3600000e+02	   1.2700000e+02	   2.5000000e+02	   2.9000000e+01	
   1.1000000e+02	   2.0000000e+01	   3.2900000e+02	   6.0000000e+01	   2.3300000e+02	   1.4200000e+02	   3.5500000e+02	   1.4100000e+02	   1.6600000e+02	   1.5500000e+02	
   7.7000000e+01	   3.1300000e+02	   7.5000000e+01	   3.3700000e+02	   3.9800000e+02	   2.2900000e+02	   3.4000000e+02	   3.0000000e+00	   1.0200000e+02	   3.9000000e+02	
   3.9100000e+02	   2.3800000e+02	   1.0500000e+02	   3.2500000e+02	   1.7200000e+02	   1.0700000e+02	   2.1000000e+02	   6.9000000e+01	   3.6400000e+02	   3.1400000e+02	
